,Billing Dispute,Broadband Performance,Call Drops,Cancellation,Customer Service,Data / Usage Issue,Equipment / Router,Installation,Network Connectivity,Service Outage,Service Request
Billing Dispute,77,3,2,1,0,1,1,0,0,1,10
Broadband Performance,0,37,0,0,0,0,0,0,0,0,1
Call Drops,0,0,4,0,0,0,0,0,0,0,0
Cancellation,0,0,0,3,0,0,0,0,0,0,0
Customer Service,0,0,0,0,8,0,0,0,0,0,1
Data / Usage Issue,0,0,0,0,0,34,0,0,0,0,1
Equipment / Router,0,0,0,0,0,0,1,0,0,0,0
Installation,0,0,0,0,0,0,0,1,0,0,2
Network Connectivity,0,0,0,0,0,0,0,0,0,0,1
Service Outage,0,0,0,0,0,0,0,0,0,7,2
Service Request,1,1,0,0,1,1,0,0,0,5,123
